Sol
Alpheratz
Caph
Algenib
Ankaa
Shedir
Diphda
Van Maanen's Star
Cih
Mirach
Ruchbah
Achernar
Sheratan
Almaak
Hamal
Mira
Polaris
Acamar
Menkar
Algol
Mirphak
Alcyone
Zaurak
Aldebaran
Hassaleh
Cursa
Kapteyn's Star
Rigel
Capella
Bellatrix
Alnath
Nihal
Mintaka
Arneb
Hatsya
Alnilam
Phakt
Alnitak
Saiph
Betelgeuse
Menkalinan
Red Rectangle
Mirzam
Canopus
Alhena
Sirius
Adhara
Wezen
Aludra
Gomeisa
Luyten's Star
Castor
Procyon
Pollux
Naos
Avior
Miaplacidus
Tureis
Alphard
Ras Elased Australis
Regulus
Algieba
Merak
Lalande
Dubhe
Zosma
Denebola
Groombridge
Phad
Megrez
Gienah Ghurab
Acrux
Algorab
Gacrux
Kraz
Porrima
Becrux
Alioth
Cor Caroli
Vindemiatrix
Mizar
Spica
Alcor
Alkaid
Mufrid
Hadar
Thuban
Menkent
Arcturus
Proxima Centauri
Rigil Kentaurus
Izar
Kochab
Zubenelgenubi
Zubeneschemali
Alphekka
Unukalhai
Dschubba
Graffias
Antares
Kornephoros
Atria
Rasalgethi
Rastaban
Shaula
Rasalhague
Sargas
Cebalrai
Etamin
Barnard's Star
Nash
Kaus Meridionalis
Kaus Australis
Kaus Borealis
Vega
Sheliak
Nunki
Albaldah
Albireo
Campbell's Hydrogen Star
Tarazed
Altair
Alshain
Cygnus X-1
Sadr
Peacock
Deneb
Gienah
Lacaille
Alderamin
Sadalsuud
Enif
Sadalmelik
Alnair
Kruger
Matar
Babcock's star
Fomalhaut
Scheat
Markab
Lacaille
Eridani
